Front	Back	Tags
TR: Transaction boundary nedir?	Transaction boundary, hangi işlemlerin tek bir transaction içinde atomik olarak commit veya rollback edileceğini belirleyen sınırdır. Banking transfer senaryosunda para hareketi ve transfer kaydı aynı boundary içinde olmalıdır.	spring transactions banking
EN: What is a transaction boundary?	A transaction boundary defines which operations are committed or rolled back atomically. In a banking transfer, the money movement and transfer record should be inside the same boundary.	spring transactions banking
TR: Bildirim servisi neden DB transaction içinde çağrılmamalıdır?	Çünkü dış servis yavaşlayabilir, hata verebilir veya transaction commit edildikten sonra geri alınamayacak yan etki oluşturabilir. Bunun yerine outbox pattern tercih edilir.	spring transactions banking outbox
EN: Why should an external notification service not be called inside the DB transaction?	Because it can be slow, fail independently, or create side effects that cannot be rolled back with the database transaction. The outbox pattern is usually safer.	spring transactions banking outbox
TR: Banking transfer işleminde rollback hangi durumda gerekir?	DB yazma hatası, beklenmeyen teknik hata, constraint ihlali veya para hareketinin bütünlüğünü bozan hata varsa rollback gerekir. Business validation hatası genelde işlem başlamadan yakalanmalıdır.	spring transactions banking
EN: When should rollback happen in a banking transfer?	Rollback is needed for database write failures, unexpected technical failures, constraint violations, or any error that breaks money-movement consistency. Business validation should ideally happen before state changes.	spring transactions banking
TR: @Transactional tek başına concurrency problemlerini çözer mi?	Hayır. @Transactional atomic commit/rollback sağlar, fakat aynı hesaba paralel transferlerde lost update veya overdraft riskini tek başına çözmez. Locking, versioning veya uygun isolation gerekir.	spring transactions concurrency banking
EN: Does @Transactional alone solve concurrency problems?	No. @Transactional provides atomic commit/rollback, but it does not by itself prevent lost updates or overdrafts when parallel transfers hit the same account. Locking, versioning, or proper isolation is needed.	spring transactions concurrency banking
TR: Outbox pattern banking transferde neden önemlidir?	Para hareketiyle yayınlanacak olayı aynı DB transaction içinde kaydeder. Böylece commit sonrası bildirim veya event publish retry edilebilir, para hareketi tekrar çalıştırılmaz.	spring transactions outbox banking
EN: Why is the outbox pattern important in a banking transfer?	It stores the event to be published in the same DB transaction as the money movement. After commit, notification or event publishing can be retried without executing the transfer again.	spring transactions outbox banking
TR: @Transactional dış HTTP çağrısını rollback edebilir mi?	Hayır. @Transactional veritabanı transaction içindeki DB değişikliklerini geri alabilir, ama başka bir sisteme gönderilmiş HTTP isteğini geri alamaz.	spring transactions side-effects banking
EN: Can @Transactional roll back an external HTTP call?	No. @Transactional can roll back database changes inside the transaction, but it cannot undo an HTTP request already sent to another system.	spring transactions side-effects banking
TR: SMS bildirimi basarisiz olursa para transferi rollback edilmeli mi?	Hayir. Para transferi finansal gercektir; SMS dis yan etkidir. Transfer commit edildiyse SMS outbox/retry ile tekrar denenmeli, monitoring ve alarm ile takip edilmelidir.	spring transactions outbox banking
EN: Should a money transfer be rolled back if SMS notification fails?	No. The money movement is the financial source of truth; SMS is an external side effect. If the transfer committed, SMS should be retried through outbox/retry and monitored.	spring transactions outbox banking
TR: Debit basarili gorunup credit sirasinda DB hatasi olursa ne olmali?	Debit ve credit ayni transaction icindeyse tum transaction rollback edilir. Debit commit edilmedigi icin manuel iade gerekmez; DB onceki committed state'e doner.	spring transactions atomicity banking
EN: What should happen if debit happens and credit fails with a DB error?	If debit and credit are in the same transaction, the whole transaction rolls back. The debit is not committed, so no separate refund is needed; the DB returns to the previous committed state.	spring transactions atomicity banking
